yourlist:M20200514A94466D2655679D1FD8953E075198DA8C1D4D0E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
WDR59	Q6PJI9	WDR59_HUMAN	reviewed	GATOR complex protein WDR59 (WD repeat-containing protein 59)	WDR59 KIAA1923 FP977	Homo sapiens (Human)	974
CTRB2	Q6GPI1	CTRB2_HUMAN	reviewed	Chymotrypsinogen B2 (EC 3.4.21.1) [Cleaved into: Chymotrypsin B2 chain A; Chymotrypsin B2 chain B; Chymotrypsin B2 chain C]	CTRB2	Homo sapiens (Human)	263
BCAR1	P56945	BCAR1_HUMAN	reviewed	Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas)	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)	870
CFDP1	Q9UEE9	CFDP1_HUMAN	reviewed	Craniofacial development protein 1 (Bucentaur)	CFDP1 BCNT CENP-29	Homo sapiens (Human)	299
KARS	Q15046	SYK_HUMAN	reviewed	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	KARS1 KARS KIAA0070	Homo sapiens (Human)	597
CNTNAP4	Q9C0A0	CNTP4_HUMAN	reviewed	Contactin-associated protein-like 4 (Cell recognition molecule Caspr4)	CNTNAP4 CASPR4 KIAA1763	Homo sapiens (Human)	1308
MON1B	Q7L1V2	MON1B_HUMAN	reviewed	Vacuolar fusion protein MON1 homolog B (HSV-1 stimulation-related gene 1 protein) (HSV-I stimulating-related protein)	MON1B HSRG1 KIAA0872 SAND2	Homo sapiens (Human)	547
SYCE1L	A8MT33	SYC1L_HUMAN	reviewed	Synaptonemal complex central element protein 1-like (Meiosis-related protein)	SYCE1L	Homo sapiens (Human)	242
ADAMTS18	Q8TE60	ATS18_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)	ADAMTS18 ADAMTS21	Homo sapiens (Human)	1221
NUDT7	P0C024	NUDT7_HUMAN	reviewed	Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 7) (Nudix motif 7)	NUDT7	Homo sapiens (Human)	238
CLEC3A	O75596	CLC3A_HUMAN	reviewed	C-type lectin domain family 3 member A (C-type lectin superfamily member 1) (Cartilage-derived C-type lectin)	CLEC3A CLECSF1 UNQ700/PRO1345	Homo sapiens (Human)	197
WWOX	Q9NZC7	WWOX_HUMAN	reviewed	WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1)	WWOX FOR SDR41C1 WOX1	Homo sapiens (Human)	414
DYNLRB2	Q8TF09	DLRB2_HUMAN	reviewed	Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic) (Roadblock domain-containing protein 2)	DYNLRB2 DNCL2B DNLC2B ROBLD2	Homo sapiens (Human)	96
CDYL2	Q8N8U2	CDYL2_HUMAN	reviewed	Chromodomain Y-like protein 2 (CDY-like 2)	CDYL2	Homo sapiens (Human)	506
CENPN	Q96H22	CENPN_HUMAN	reviewed	Centromere protein N (CENP-N) (Interphase centromere complex protein 32)	CENPN C16orf60 ICEN32 BM-309	Homo sapiens (Human)	339
C16orf46	Q6P387	CP046_HUMAN	reviewed	Uncharacterized protein C16orf46	C16orf46	Homo sapiens (Human)	395
GCSH	P23434	GCSH_HUMAN	reviewed	Glycine cleavage system H protein, mitochondrial (Lipoic acid-containing protein)	GCSH	Homo sapiens (Human)	173
PKD1L2	Q7Z442	PK1L2_HUMAN	reviewed	Polycystic kidney disease protein 1-like 2 (PC1-like 2 protein) (Polycystin-1L2)	PKD1L2 KIAA1879 PC1L2	Homo sapiens (Human)	2459
BCO1	Q9HAY6	BCDO1_HUMAN	reviewed	Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)	BCO1 BCDO BCDO1 BCMO1	Homo sapiens (Human)	547
PLCG2	P16885	PLCG2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-2) (Phospholipase C-IV) (PLC-IV) (Phospholipase C-gamma-2) (PLC-gamma-2)	PLCG2	Homo sapiens (Human)	1265
SDR42E1	Q8WUS8	D42E1_HUMAN	reviewed	Short-chain dehydrogenase/reductase family 42E member 1 (EC 1.1.1.-)	SDR42E1 HSPC105	Homo sapiens (Human)	393
MPHOSPH6	Q99547	MPH6_HUMAN	reviewed	M-phase phosphoprotein 6	MPHOSPH6 MPP6	Homo sapiens (Human)	160
CDH13	P55290	CAD13_HUMAN	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	Homo sapiens (Human)	713
MLYCD	O95822	DCMC_HUMAN	reviewed	Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)	MLYCD	Homo sapiens (Human)	493
OSGIN1	Q9UJX0	OSGI1_HUMAN	reviewed	Oxidative stress-induced growth inhibitor 1 (Bone marrow stromal cell-derived growth inhibitor) (BMSC-derived growth inhibitor) (Ovary, kidney and liver protein 38) (huOKL38) (Pregnancy-induced growth inhibitor OKL38)	OSGIN1 BDGI OKL38	Homo sapiens (Human)	477
NECAB2	Q7Z6G3	NECA2_HUMAN	reviewed	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2) (Synaptotagmin-interacting protein 2) (Stip-2)	NECAB2 EFCBP2	Homo sapiens (Human)	386
SLC38A8	A6NNN8	S38A8_HUMAN	reviewed	Putative sodium-coupled neutral amino acid transporter 8 (Solute carrier family 38 member 8)	SLC38A8	Homo sapiens (Human)	435
MBTPS1	Q14703	MBTP1_HUMAN	reviewed	Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1)	MBTPS1 KIAA0091 S1P SKI1	Homo sapiens (Human)	1052
HSDL1	Q3SXM5	HSDL1_HUMAN	reviewed	Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3)	HSDL1 SDR12C3	Homo sapiens (Human)	330
DNAAF1	Q8NEP3	DAAF1_HUMAN	reviewed	Dynein assembly factor 1, axonemal (Leucine-rich repeat-containing protein 50)	DNAAF1 LRRC50	Homo sapiens (Human)	725
TAF1C	Q15572	TAF1C_HUMAN	reviewed	TATA box-binding protein-associated factor RNA polymerase I subunit C (RNA polymerase I-specific TBP-associated factor 110 kDa) (TAFI110) (TATA box-binding protein-associated factor 1C) (TBP-associated factor 1C) (Transcription initiation factor SL1/TIF-IB subunit C)	TAF1C	Homo sapiens (Human)	869
ADAD2	Q8NCV1	ADAD2_HUMAN	reviewed	Adenosine deaminase domain-containing protein 2 (Testis nuclear RNA-binding protein-like)	ADAD2 TENRL	Homo sapiens (Human)	583
KCNG4	Q8TDN1	KCNG4_HUMAN	reviewed	Potassium voltage-gated channel subfamily G member 4 (Voltage-gated potassium channel subunit Kv6.4)	KCNG4 KCNG3	Homo sapiens (Human)	519
ATP2C2	O75185	AT2C2_HUMAN	reviewed	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Secretory pathway Ca(2+)-ATPase 2)	ATP2C2 KIAA0703 SPCA2	Homo sapiens (Human)	946
TLDC1	Q6P9B6	MEAK7_HUMAN	reviewed	MTOR-associated protein MEAK7 (MEAK7) (MTOR associated protein, eak-7 homolog) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1)	MEAK7 KIAA1609 TLDC1	Homo sapiens (Human)	456
KLHL36	Q8N4N3	KLH36_HUMAN	reviewed	Kelch-like protein 36	KLHL36 C16orf44	Homo sapiens (Human)	616
CRISPLD2	Q9H0B8	CRLD2_HUMAN	reviewed	Cysteine-rich secretory protein LCCL domain-containing 2 (Cysteine-rich secretory protein 11) (CRISP-11) (LCCL domain-containing cysteine-rich secretory protein 2)	CRISPLD2 CRISP11 LCRISP2 UNQ2914/PRO1156/PRO9783	Homo sapiens (Human)	497
LINC00311	Q8N616	TM148_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00311	LINC00311 NCRNA00311 TMEM148	Homo sapiens (Human)	119
GSE1	Q14687	GSE1_HUMAN	reviewed	Genetic suppressor element 1	GSE1 KIAA0182	Homo sapiens (Human)	1217
GINS2	Q9Y248	PSF2_HUMAN	reviewed	DNA replication complex GINS protein PSF2 (GINS complex subunit 2)	GINS2 PSF2 CGI-122 DC5 HSPC037	Homo sapiens (Human)	185
COX4I1	P13073	COX41_HUMAN	reviewed	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)	COX4I1 COX4	Homo sapiens (Human)	169
IRF8	Q02556	IRF8_HUMAN	reviewed	Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP)	IRF8 ICSBP1	Homo sapiens (Human)	426
MTHFSD	Q2M296	MTHSD_HUMAN	reviewed	Methenyltetrahydrofolate synthase domain-containing protein	MTHFSD	Homo sapiens (Human)	383
C16orf95	Q9H693	CP095_HUMAN	reviewed	Uncharacterized protein C16orf95	C16orf95	Homo sapiens (Human)	158
ZCCHC14	Q8WYQ9	ZCH14_HUMAN	reviewed	Zinc finger CCHC domain-containing protein 14 (BDG-29)	ZCCHC14 KIAA0579	Homo sapiens (Human)	949
JPH3	Q8WXH2	JPH3_HUMAN	reviewed	Junctophilin-3 (JP-3) (Junctophilin type 3) (Trinucleotide repeat-containing gene 22 protein)	JPH3 JP3 TNRC22	Homo sapiens (Human)	748
ZNF469	Q96JG9	ZN469_HUMAN	reviewed	Zinc finger protein 469	ZNF469 KIAA1858	Homo sapiens (Human)	3925
ZFPM1	Q8IX07	FOG1_HUMAN	reviewed	Zinc finger protein ZFPM1 (Friend of GATA protein 1) (FOG-1) (Friend of GATA 1) (Zinc finger protein 89A) (Zinc finger protein multitype 1)	ZFPM1 FOG1 ZFN89A	Homo sapiens (Human)	1006
ZC3H18	Q86VM9	ZCH18_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1)	ZC3H18 NHN1	Homo sapiens (Human)	953
CYBA	P13498	CY24A_HUMAN	reviewed	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	CYBA	Homo sapiens (Human)	195
MVD	P53602	MVD1_HUMAN	reviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	MVD MPD	Homo sapiens (Human)	400
SNAI3	Q3KNW1	SNAI3_HUMAN	reviewed	Zinc finger protein SNAI3 (Protein snail homolog 3) (Zinc finger protein 293)	SNAI3 ZNF293	Homo sapiens (Human)	292
RNF166	Q96A37	RN166_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF166 (EC 2.3.2.27) (RING finger protein 166) (RING-type E3 ubiquitin transferase RNF166)	RNF166	Homo sapiens (Human)	237
PIEZO1	Q92508	PIEZ1_HUMAN	reviewed	Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A)	PIEZO1 FAM38A KIAA0233	Homo sapiens (Human)	2521
CDT1	Q9H211	CDT1_HUMAN	reviewed	DNA replication factor Cdt1 (Double parked homolog) (DUP)	CDT1	Homo sapiens (Human)	546
GALNS	P34059	GALNS_HUMAN	reviewed	N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (GalN6S) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase)	GALNS	Homo sapiens (Human)	522
ACSF3	Q4G176	ACSF3_HUMAN	reviewed	Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.n3) (Acyl-CoA synthetase family member 3)	ACSF3 PSEC0197	Homo sapiens (Human)	576
LINC00304	Q8N9R0	CP081_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00304	LINC00304 C16orf81 NCRNA00304	Homo sapiens (Human)	145
CDH3,CDH15	P55291	CAD15_HUMAN	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	CDH15 CDH14 CDH3	Homo sapiens (Human)	814
SLC22A31	A6NKX4	S22AV_HUMAN	reviewed	Putative solute carrier family 22 member 31	SLC22A31	Homo sapiens (Human)	556
ZNF778	Q96MU6	ZN778_HUMAN	reviewed	Zinc finger protein 778	ZNF778	Homo sapiens (Human)	729
ANKRD11	Q6UB99	ANR11_HUMAN	reviewed	Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1)	ANKRD11 ANCO1	Homo sapiens (Human)	2663
SPATA2L	Q8IUW3	SPA2L_HUMAN	reviewed	Spermatogenesis-associated protein 2-like protein (SPATA2-like protein)	SPATA2L C16orf76	Homo sapiens (Human)	424
VPS9D1	Q9Y2B5	VP9D1_HUMAN	reviewed	VPS9 domain-containing protein 1 (Protein ATP-BL)	VPS9D1 ATPBL C16orf7	Homo sapiens (Human)	631
ZNF276	Q8N554	ZN276_HUMAN	reviewed	Zinc finger protein 276 (Zfp-276) (Zinc finger protein 477)	ZNF276 CENP-Z ZFP276 ZNF477	Homo sapiens (Human)	614
FANCA	O15360	FANCA_HUMAN	reviewed	Fanconi anemia group A protein (Protein FACA)	FANCA FAA FACA FANCH	Homo sapiens (Human)	1455
MC1R	Q01726	MSHR_HUMAN	reviewed	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	MC1R MSHR	Homo sapiens (Human)	317
CENPBD1	B2RD01	CENP1_HUMAN	reviewed	CENPB DNA-binding domain-containing protein 1	CENPBD1	Homo sapiens (Human)	187
GAS8-AS1	O95177	GAAS1_HUMAN	reviewed	Uncharacterized protein GAS8-AS1 (GAS8 antisense RNA 1) (GAS8 antisense gene protein 1)	GAS8-AS1 C16orf3	Homo sapiens (Human)	125
GAS8	O95995	DRC4_HUMAN	reviewed	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 11) (GAS-11) (Growth arrest-specific protein 8) (GAS-8)	GAS8 DRC4 GAS11	Homo sapiens (Human)	478
DOC2B	Q14184	DOC2B_HUMAN	reviewed	Double C2-like domain-containing protein beta (Doc2-beta)	DOC2B DOC2BL	Homo sapiens (Human)	412
C17orf97	Q6ZQX7	LIAT1_HUMAN	reviewed	Protein LIAT1 (Ligand of ATE1 protein)	LIAT1 C17orf97	Homo sapiens (Human)	453
VPS53	Q5VIR6	VPS53_HUMAN	reviewed	Vacuolar protein sorting-associated protein 53 homolog	VPS53 PP13624	Homo sapiens (Human)	699
GEMIN4	P57678	GEMI4_HUMAN	reviewed	Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97)	GEMIN4	Homo sapiens (Human)	1058
TUSC5	Q8IXB3	TARG1_HUMAN	reviewed	Trafficking regulator of GLUT4 1 (Dispanin subfamily B member 1) (DSPB1) (Interferon-induced transmembrane domain-containing protein D3) (Protein located at seventeen-p-thirteen point three 1) (Tumor suppressor candidate 5)	TRARG1 IFITMD3 LOST1 TUSC5	Homo sapiens (Human)	177
CRK	P46108	CRK_HUMAN	reviewed	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	Homo sapiens (Human)	304
MYO1C	O00159	MYO1C_HUMAN	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
MYO1E,MYO1C	Q12965	MYO1E_HUMAN	reviewed	Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E)	MYO1E MYO1C	Homo sapiens (Human)	1108
SLC43A2	Q8N370	LAT4_HUMAN	reviewed	Large neutral amino acids transporter small subunit 4 (L-type amino acid transporter 4) (Solute carrier family 43 member 2)	SLC43A2 LAT4 PP7664	Homo sapiens (Human)	569
SCARF1	Q14162	SREC_HUMAN	reviewed	Scavenger receptor class F member 1 (Acetyl LDL receptor) (Scavenger receptor expressed by endothelial cells 1) (SREC-I)	SCARF1 KIAA0149 SREC	Homo sapiens (Human)	830
TLCD2	A6NGC4	TLCD2_HUMAN	reviewed	TLC domain-containing protein 2	TLCD2	Homo sapiens (Human)	264
MIR22HG	Q0VDD5	CQ091_HUMAN	reviewed	Putative uncharacterized protein encoded by MIR22HG	MIR22HG C17orf91	Homo sapiens (Human)	57
WDR81	Q562E7	WDR81_HUMAN	reviewed	WD repeat-containing protein 81	WDR81	Homo sapiens (Human)	1941
SERPINF1	P36955	PEDF_HUMAN	reviewed	Pigment epithelium-derived factor (PEDF) (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)	SERPINF1 PEDF PIG35	Homo sapiens (Human)	418
SMYD4	Q8IYR2	SMYD4_HUMAN	reviewed	SET and MYND domain-containing protein 4 (EC 2.1.1.-)	SMYD4 KIAA1936	Homo sapiens (Human)	804
RPA1	P27694	RFA1_HUMAN	reviewed	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	RPA1 REPA1 RPA70	Homo sapiens (Human)	616
RTN4RL1	Q86UN2	R4RL1_HUMAN	reviewed	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	RTN4RL1 NGRH2 NGRL2	Homo sapiens (Human)	441
DPH1	Q9BZG8	DPH1_HUMAN	reviewed	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (Ovarian cancer-associated gene 1 protein) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1)	DPH1 DPH2L DPH2L1 OVCA1	Homo sapiens (Human)	443
SMG6	Q86US8	EST1A_HUMAN	reviewed	Telomerase-binding protein EST1A (EC 3.1.-.-) (EST1-like protein A) (Ever shorter telomeres 1A) (Smg-6 homolog) (Telomerase subunit EST1A) (hSmg5/7a)	SMG6 C17orf31 EST1A KIAA0732	Homo sapiens (Human)	1419
TSR1	Q2NL82	TSR1_HUMAN	reviewed	Pre-rRNA-processing protein TSR1 homolog	TSR1 KIAA1401	Homo sapiens (Human)	804
SGSM2	O43147	SGSM2_HUMAN	reviewed	Small G protein signaling modulator 2 (RUN and TBC1 domain-containing protein 1)	SGSM2 KIAA0397 RUTBC1	Homo sapiens (Human)	1006
CLUH	O75153	CLU_HUMAN	reviewed	Clustered mitochondria protein homolog	CLUH KIAA0664	Homo sapiens (Human)	1309
RAP1GAP2	Q684P5	RPGP2_HUMAN	reviewed	Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4)	RAP1GAP2 GARNL4 KIAA1039 RAP1GA2	Homo sapiens (Human)	730
OR1A2	Q9Y585	OR1A2_HUMAN	reviewed	Olfactory receptor 1A2 (Olfactory receptor 17-6) (OR17-6) (Olfactory receptor OR17-10)	OR1A2	Homo sapiens (Human)	309
OR1A1	Q9P1Q5	OR1A1_HUMAN	reviewed	Olfactory receptor 1A1 (Olfactory receptor 17-7) (OR17-7) (Olfactory receptor OR17-11)	OR1A1	Homo sapiens (Human)	309
OR3A3	P47888	OR3A3_HUMAN	reviewed	Olfactory receptor 3A3 (Olfactory receptor 17-201) (OR17-201) (Olfactory receptor 3A6) (Olfactory receptor 3A7) (Olfactory receptor 3A8) (Olfactory receptor OR17-22)	OR3A3 OR3A6 OR3A7 OR3A8P	Homo sapiens (Human)	321
OR1E2	P47887	OR1E2_HUMAN	reviewed	Olfactory receptor 1E2 (Olfactory receptor 17-93/17-135/17-136) (OR17-135) (OR17-136) (OR17-93) (Olfactory receptor 1E4)	OR1E2 OR1E4	Homo sapiens (Human)	323
SPATA22	Q8NHS9	SPT22_HUMAN	reviewed	Spermatogenesis-associated protein 22 (Testis development protein NYD-SP20)	SPATA22	Homo sapiens (Human)	363
ASPA	P45381	ACY2_HUMAN	reviewed	Aspartoacylase (EC 3.5.1.15) (Aminoacylase-2) (ACY-2)	ASPA ACY2 ASP	Homo sapiens (Human)	313
TRPV3	Q8NET8	TRPV3_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 3 (TrpV3) (Vanilloid receptor-like 3) (VRL-3)	TRPV3	Homo sapiens (Human)	790
TRPV1	Q8NER1	TRPV1_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1)	TRPV1 VR1	Homo sapiens (Human)	839
SHPK	Q9UHJ6	SHPK_HUMAN	reviewed	Sedoheptulokinase (SHK) (EC 2.7.1.14) (Carbohydrate kinase-like protein)	SHPK CARKL	Homo sapiens (Human)	478
CTNS	O60931	CTNS_HUMAN	reviewed	Cystinosin	CTNS	Homo sapiens (Human)	367
TAX1BP3	O14907	TX1B3_HUMAN	reviewed	Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1) (TIP-1) (Tax-interacting protein 1)	TAX1BP3 TIP1	Homo sapiens (Human)	124
P2RX5	Q93086	P2RX5_HUMAN	reviewed	P2X purinoceptor 5 (P2X5) (ATP receptor) (Purinergic receptor)	P2RX5 P2X5	Homo sapiens (Human)	422
HASPIN	Q8TF76	HASP_HUMAN	reviewed	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)	HASPIN GSG2	Homo sapiens (Human)	798
ITGAE	P38570	ITAE_HUMAN	reviewed	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE	Homo sapiens (Human)	1179
CAMKK1	Q8N5S9	KKCC1_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA	Homo sapiens (Human)	505
SPNS3	Q6ZMD2	SPNS3_HUMAN	reviewed	Protein spinster homolog 3	SPNS3	Homo sapiens (Human)	512
MYBBP1A	Q9BQG0	MBB1A_HUMAN	reviewed	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)	1328
GGT6	Q6P531	GGT6_HUMAN	reviewed	Glutathione hydrolase 6 (EC 3.4.19.13) (Gamma-glutamyltransferase 6) (GGT 6) (EC 2.3.2.2) (Gamma-glutamyltranspeptidase 6) [Cleaved into: Glutathione hydrolase 6 heavy chain; Glutathione hydrolase 6 light chain]	GGT6	Homo sapiens (Human)	493
SMTNL2	Q2TAL5	SMTL2_HUMAN	reviewed	Smoothelin-like protein 2	SMTNL2	Homo sapiens (Human)	461
PELP1	Q8IZL8	PELP1_HUMAN	reviewed	Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor) (Transcription factor HMX3)	PELP1 HMX3 MNAR	Homo sapiens (Human)	1130
ARRB2	P32121	ARRB2_HUMAN	reviewed	Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3)	ARRB2 ARB2 ARR2	Homo sapiens (Human)	409
CXCL16	Q9H2A7	CXL16_HUMAN	reviewed	C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16)	CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714	Homo sapiens (Human)	254
ZMYND15	Q9H091	ZMY15_HUMAN	reviewed	Zinc finger MYND domain-containing protein 15	ZMYND15	Homo sapiens (Human)	742
TM4SF5	O14894	T4S5_HUMAN	reviewed	Transmembrane 4 L6 family member 5 (Tetraspan transmembrane protein L6H)	TM4SF5	Homo sapiens (Human)	197
PSMB6	P28072	PSB6_HUMAN	reviewed	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y)	PSMB6 LMPY Y	Homo sapiens (Human)	239
PLD2	O14939	PLD2_HUMAN	reviewed	Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2)	PLD2	Homo sapiens (Human)	933
MINK1	Q8N4C8	MINK1_HUMAN	reviewed	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)	1332
CHRNE	Q04844	ACHE_HUMAN	reviewed	Acetylcholine receptor subunit epsilon	CHRNE ACHRE	Homo sapiens (Human)	493
C17orf107	Q6ZR85	CQ107_HUMAN	reviewed	Uncharacterized protein C17orf107	C17orf107	Homo sapiens (Human)	190
CAMTA2	O94983	CMTA2_HUMAN	reviewed	Calmodulin-binding transcription activator 2	CAMTA2 KIAA0909	Homo sapiens (Human)	1202
KIF1C	O43896	KIF1C_HUMAN	reviewed	Kinesin-like protein KIF1C	KIF1C KIAA0706	Homo sapiens (Human)	1103
RFT1,SLC52A1	Q9NWF4	S52A1_HUMAN	reviewed	Solute carrier family 52, riboflavin transporter, member 1 (Porcine endogenous retrovirus A receptor 2) (PERV-A receptor 2) (huPAR-2) (Protein GPR172B) (Riboflavin transporter 1) (hRFT1)	SLC52A1 GPR172B PAR2 RFT1	Homo sapiens (Human)	448
RABEP1	Q15276	RABE1_HUMAN	reviewed	Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17)	RABEP1 RAB5EP RABPT5 RABPT5A	Homo sapiens (Human)	862
NUP88	Q99567	NUP88_HUMAN	reviewed	Nuclear pore complex protein Nup88 (88 kDa nucleoporin) (Nucleoporin Nup88)	NUP88	Homo sapiens (Human)	741
DHX33	Q9H6R0	DHX33_HUMAN	reviewed	ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)	DHX33 DDX33	Homo sapiens (Human)	707
NLRP1	Q9C000	NLRP1_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 1 (Caspase recruitment domain-containing protein 7) (Death effector filament-forming ced-4-like apoptosis protein) (Nucleotide-binding domain and caspase recruitment domain)	NLRP1 CARD7 DEFCAP KIAA0926 NAC NALP1	Homo sapiens (Human)	1473
WSCD1	Q658N2	WSCD1_HUMAN	reviewed	WSC domain-containing protein 1	WSCD1 KIAA0523	Homo sapiens (Human)	575
AIPL1	Q9NZN9	AIPL1_HUMAN	reviewed	Aryl-hydrocarbon-interacting protein-like 1	AIPL1 AIPL2	Homo sapiens (Human)	384
